CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"68,584","30,482","6,67,623",11.35,2.10,0.45,"1,625",1.95,2.20,"1,755","24,900.00",195,616.80,620.00,455,-92.10,619.45,17.17,"2,485",139,374,
,"28,385","19,373","3,80,301",12.05,2.00,0.45,"1,755",1.75,2.00,130,"24,950.00",65,643.95,671.00,65,-89.60,666.80,17.52,102,19,38,
,"1,85,715","44,895","12,41,586",12.58,1.75,0.25,130,1.75,1.85,585,"25,000.00",65,717.00,718.70,130,-87.75,718.70,19.07,"9,719","1,403","7,908",
,"19,200","8,267","3,02,594",13.17,1.60,0.25,"1,755",1.40,1.60,260,"25,050.00",65,765.20,770.25,65,-255.25,768.05,19.91,83,14,33,
,"72,779","23,936","4,25,887",13.66,1.40,0.20,"1,755",1.30,1.45,"1,10,500","25,100.00",65,812.75,828.40,65,-82.40,813.15,19.35,178,16,108,
,"12,746","4,966","1,60,322",14.17,1.25,0.05,"2,665",1.20,1.30,455,"25,150.00",65,864.30,910.15,780,-94.90,867.90,21.86,42,12,18,
,"67,995","21,200","3,91,545",14.48,1.00,-0.10,"29,835",0.95,1.00,"15,600","25,200.00",65,912.05,922.90,130,-92.40,917.10,22.59,43,-,159,
,"13,761","1,454","1,36,989",15.07,0.95,-0.15,390,0.95,1.05,"2,405","25,250.00",780,942.80,990.65,780,-106.05,954.00,17.10,2,1,3,
,"40,999","19,210","2,56,825",15.65,0.90,-0.10,"63,895",0.85,0.90,"77,220","25,300.00",65,"1,013.05","1,026.90",65,-123.30,"1,014.70",23.68,56,-6,44,
,"9,138","4,980","62,294",16.22,0.85,-0.05,"25,025",0.80,0.85,"4,680","25,350.00","1,820",897.40,"1,119.40",780,-,"1,375.95",25.13,-,-,8,
,"34,284","7,181","2,54,800",16.88,0.85,0.05,715,0.80,0.85,"1,885","25,400.00",780,"1,069.00","1,158.10",780,-99.55,"1,100.45",-,5,-1,28,
,"9,572","3,800","44,204",17.17,0.70,-0.05,"24,180",0.70,0.75,"5,785","25,450.00",780,"1,001.35","1,218.25",780,-,"1,259.70",28.19,-,-,2,
,"1,34,638","43,535","4,69,395",17.95,0.75,-,"5,11,290",0.70,0.75,"1,08,810","25,500.00",65,"1,206.55","1,227.30",65,-91.90,"1,213.20",26.75,206,-32,"1,729",
,"5,240",226,"34,487",18.59,0.75,0.05,"80,275",0.75,0.80,"2,405","25,550.00",780,"1,108.00","1,325.55",780,-,"1,357.30",28.91,-,-,6,
,"48,823","26,731","1,69,577",18.94,0.65,-,"15,145",0.65,0.75,"4,095","25,600.00",780,"1,190.75","1,324.90",65,-299.00,"1,320.00",31.17,7,-3,8,
,"20,732","17,245","72,346",19.73,0.70,-,"8,710",0.60,0.65,65,"25,650.00",780,"1,193.20","1,416.15",780,-,"1,670.00",27.61,-,-,8,
,"39,316","28,297","1,34,053",20.03,0.60,-0.05,"5,655",0.60,0.70,"1,300","25,700.00",780,"1,136.70","1,440.35",910,21.40,"1,697.75",-,-,-,8,
,"4,117","2,209","20,482",20.47,0.55,-0.10,455,0.55,0.60,"34,515","25,750.00",780,"1,286.95","1,536.25",780,-,-,-,-,-,-,
,"42,531","18,682","1,49,274",21.08,0.55,-0.05,"5,265",0.50,0.55,"2,16,840","25,800.00",780,"1,494.95","1,537.45",260,-88.95,"1,516.05",33.31,7,-1,42,
,"5,131","3,374","18,783",21.69,0.55,-0.05,"1,560",0.55,0.65,"5,200","25,850.00",780,"1,379.20","1,618.95",780,-,"1,887.90",-,-,-,4,
,"12,167","7,197","45,806",21.86,0.45,-0.15,"96,395",0.45,0.50,"2,080","25,900.00",780,"1,431.70","1,676.75",780,-,-,-,-,-,-,
,"3,843","2,499","17,902",22.46,0.45,-0.10,"40,560",0.45,0.50,"3,900","25,950.00",780,"1,472.90","1,729.90",780,-,-,-,-,-,-,
,"85,513","41,517","2,91,985",22.79,0.40,-0.15,"19,49,740",0.40,0.45,"7,13,440","26,000.00",650,"1,704.85","1,728.05",325,-88.30,"1,713.85",35.79,356,-136,"1,054",
,"6,029","3,736","20,392",23.37,0.40,-0.15,"83,135",0.40,0.45,"68,055","26,050.00",780,"1,570.05","1,835.60",780,-,-,-,-,-,-,
,"11,881","6,854","60,113",24.22,0.45,-0.05,"28,665",0.40,0.45,"1,37,670","26,100.00",780,"1,615.15","1,884.30",780,-,-,-,-,-,-,
,"3,808","2,998","15,524",24.53,0.40,-0.10,"27,755",0.40,0.45,780,"26,150.00",780,"1,665.05","1,940.80",780,-,-,-,-,-,-,
,"11,177","7,657","39,124",24.80,0.35,-0.15,"2,79,370",0.35,0.40,"1,91,230","26,200.00",780,"1,701.85","1,971.70",780,-,"2,239.70",-,-,-,10,
,"4,468","2,638","14,096",25.37,0.35,-0.15,"1,89,085",0.35,0.40,"3,900","26,250.00",780,"1,759.30","2,036.15",780,-,-,-,-,-,-,
,"55,744","40,386","2,54,985",25.94,0.35,-0.10,"5,39,370",0.35,0.40,"16,56,005","26,300.00",780,"1,808.60","2,075.35",780,1.65,"2,315.00",-,-,-,40,
